"class","apsig","perinc","pcygsig","mxy","fwx","fwy","neighbordist","new1sig","new2sig","sub1sig","sub2sig","sub2minsub1","dsub1sub2","holeinref","bigapratio","relfwx","relfwy","roundness","wiggliness"
"SN",0.502644,-0.111157,0.369062,0.0250675,-0.195915,0.15667,-0.0943561,0.398733,0.437432,0.373559,0.365377,0.204063,-0.963293,0.0448982,-0.840966,-0.522172,-0.0214022,-0.994907,-0.646329
"SN",0.214899,-0.649609,-0.295937,0.0471738,-0.191278,0.159224,-0.00177427,0.28639,0.321157,-0.000760947,0.0825914,0.135669,-0.437744,0.172689,-0.428889,-0.562143,-0.0301668,-0.999886,-0.79546
"SN",0.318265,-0.526646,0.118679,0.0190272,-0.171665,0.0839408,-0.0895158,0.357185,0.309821,0.19825,0.122766,-0.153054,-0.937762,0.156498,-0.529504,-0.518348,-0.0645793,-0.98753,-0.861566
"SN",0.273746,-0.610742,-0.0158482,0.051633,-0.1967,0.13087,0.093654,0.345935,0.337847,0.152453,0.0854534,-0.1647,-0.935627,0.184608,-0.680335,-0.549646,-0.027149,-0.997429,-0.865318
"SN",0.459855,-0.21759,0.303159,0.030525,-0.162915,0.12502,-0.134137,0.393047,0.359107,0.369084,0.277461,0.140979,-0.918057,0.102799,-0.783474,-0.516607,-0.0302384,-0.996944,-0.940649
"SN",0.159821,-0.357943,-0.150056,0.0201172,-0.350939,0.0505205,0.259778,0.213541,0.131765,0.16904,0.0640116,-0.107859,-0.938782,0.0322194,-0.86533,-0.638644,-0.0834211,-0.984573,-0.760634
"SN",0.591729,-0.181063,0.381926,0.0315629,-0.207231,0.107439,0.138254,0.493678,0.499582,0.505697,0.470881,-0.0859486,-0.991036,0.106157,-0.820547,-0.526811,-0.0304702,-0.999637,-0.918052
"SN",0.411527,-0.505363,0.15024,0.0482669,-0.190592,0.108084,0.124868,0.451428,0.384094,0.318578,0.236046,-0.0180286,-0.99113,0.177212,-0.722792,-0.530935,-0.0391058,-0.994877,-0.950832
"SN",0.279246,-0.425279,-0.284271,0.0470692,-0.197503,0.0989804,-0.0814133,0.216296,0.214652,0.137137,0.108951,-0.0234324,-0.972426,-0.0506869,-0.622622,-0.539241,-0.0586539,-0.992789,-0.896557
"SN",0.21721,-0.197094,0.0581812,0.0532274,-0.16231,0.174042,0.239041,0.0701959,0.0620017,0.0701964,0.0311016,0.070827,-0.875431,-0.0705264,-0.475892,-0.493976,-0.00409128,-0.997678,-0.826994
"SN",0.273013,-0.0373523,-0.0324046,0.054689,-0.213612,0.112083,0.0389944,0.144477,0.123656,0.127267,0.0750343,-0.0761258,-0.932418,0.062783,-0.640244,-0.526602,-0.0327833,-0.99033,-0.902698
"SN",0.248595,-0.777311,0.119968,0.0453129,-0.070031,0.175824,-0.143694,0.496866,0.449254,-0.0407918,0.151922,0.277098,-0.693817,0.352028,-0.511118,-0.381841,0.0112296,-0.962122,-0.837151
"SN",0.660186,-0.374782,0.414313,0.0589343,-0.206317,0.131715,-0.436669,0.665474,0.656606,0.593043,0.561684,-0.2195,-0.978119,0.344097,-0.830903,-0.518008,-0.0210177,-0.994598,-0.936632
"SN",0.289347,-0.488341,0.0236487,0.000126857,-0.218243,0.124019,0.0508634,0.278432,0.140494,0.196508,-0.0114427,-0.271206,-0.802414,0.174827,-0.498701,-0.547314,-0.0455669,-0.998517,-0.864541
"SN",0.652944,0.140882,0.389286,0.0419191,-0.215945,0.139596,0.10667,0.605094,0.590723,0.582531,0.549,0.068345,-0.993034,0.115857,-0.835898,-0.536147,-0.0209758,-0.99917,-0.966279
"SN",0.263071,-0.169211,0.175725,0.000140193,-0.101252,0.277628,0.366242,0.143104,0.0946941,0.129534,0.0553992,-0.130695,-0.837698,0.0118848,-0.838174,-0.445126,0.102009,-0.97327,-0.6743
"SN",0.411414,-0.0478083,0.22421,0.0415569,-0.190461,0.136656,0.14015,0.323525,0.282521,0.302829,0.238382,0.0852673,-0.956941,-0.1331,-0.831632,-0.512816,-0.0159505,-0.999042,-0.927765
"SN",0.369788,-0.573998,0.159171,0.00891929,-0.1704,0.115643,-0.370603,0.412926,0.351599,0.252221,0.144707,-0.16398,-0.84509,0.324043,-0.623516,-0.502657,-0.045301,-0.99499,-0.940135
"SN",0.341347,-0.284106,0.0430064,0.0302129,-0.185358,0.109938,-0.0355917,0.336538,0.307541,0.233784,0.196393,0.0212753,-0.981572,-0.161069,-0.345169,-0.517421,-0.0406997,-0.996935,-0.893175
"SN",0.672094,0.00317734,0.425987,0.0495075,-0.190745,0.128037,-0.0908933,0.63828,0.627906,0.603072,0.573522,-0.0447801,-0.982648,-0.078424,-0.823475,-0.5372,-0.0299294,-0.998956,-0.932338
"SN",0.370852,-0.49702,0.26865,0.264002,-0.205218,0.158713,-0.14566,0.372398,0.364373,0.237813,0.208,0.0233014,-0.993296,0.242454,-0.847989,-0.499231,0.0109304,-0.995736,-0.789011
"SN",0.287266,-0.347124,0.0215291,0.0372497,-0.254647,0.117551,0.281991,0.249478,0.193131,0.143042,0.0884078,-0.0449545,-0.843664,0.040804,-0.793852,-0.566775,-0.0335278,-0.998887,-0.723262
"SN",0.197514,-0.452154,0.0858639,0.0304215,-0.218464,0.145557,0.0097416,0.0520853,0.199271,-0.0443448,0.12022,0.158843,-0.964339,0.093162,-0.821023,-0.551805,-0.027721,-0.998971,-0.819719
"SN",0.292896,-0.397884,0.189017,0.077305,-0.17856,0.131643,0.0596878,0.203407,0.30076,0.144414,0.158225,-0.277112,-0.880953,0.104194,-0.798851,-0.497521,-0.0180292,-0.99244,-0.867845
"SN",0.227174,-0.881634,-0.0823878,0.0614205,-0.337722,0.0871616,-0.716494,0.585576,0.59744,0.0709708,0.0453515,0.0145096,-0.885051,0.556883,-0.812021,-0.620105,-0.05098,-0.992548,-0.861327
"SN",0.28256,-0.686253,-0.111944,0.0595129,-0.215167,0.126373,0.117017,0.395973,0.417824,0.147967,0.0909785,-0.194136,-0.945859,0.342359,-0.699816,-0.517715,-0.0141623,-0.997929,-0.861823
"SN",0.423034,0.171924,0.230763,0.0437848,-0.210488,0.118013,0.134193,0.300729,0.33619,0.289119,0.29506,0.0725674,-0.976525,-0.149053,-0.831271,-0.515444,-0.0307357,-0.99732,-0.919324
