"ADDISON COUNTY",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Town Name",BADNARIK-M,,BUSH-R,,CALERO-O,,KERRY-D,,NADER-I,,PARKER-L,,Write-Ins,,"Town Total"
"Rutland City - Rutland 5-2",7,0.003,843,0.432,2,0.001,1071,0.549,14,0.007,4,0.002,8,0.004,1949
"Rutland City - Rutland 5-3",5,0.003,617,0.429,2,0.001,787,0.548,14,0.009,2,0.001,9,0.006,1436
"Rutland City - Rutland 5-4",6,0.003,807,0.43,1,0,1035,0.552,19,0.01,2,0.001,3,0.001,1873
"Rutland Town - Elementary School",2,0.001,951,0.533,1,0,807,0.452,17,0.009,1,0,3,0.001,1782
"Rutland Town - Town Mun. Building",1,0.001,358,0.531,0,0,297,0.441,13,0.019,1,0.001,3,0.004,673
Shrewsbury,3,0.004,308,0.428,0,0,399,0.554,7,0.009,0,0,2,0.002,719
Sudbury,1,0.003,123,0.382,0,0,184,0.571,8,0.024,0,0,6,0.018,322
Tinmouth,0,0,139,0.46,0,0,158,0.523,4,0.013,0,0,1,0.003,302
Wallingford,11,0.009,558,0.456,1,0,637,0.52,14,0.011,0,0,2,0.001,1223
Wells,2,0.003,295,0.547,0,0,229,0.424,11,0.02,0,0,2,0.003,539
"West Haven",2,0.015,65,0.5,0,0,58,0.446,4,0.03,1,0.007,0,0,130
"West Rutland",2,0.001,582,0.514,0,0,530,0.468,13,0.011,2,0.001,3,0.002,1132
,,,,,,,,,,,,,,,
"Rutland County Totals",125,0.004,14440,0.466,23,0,15904,0.513,357,0.011,30,0.001,96,0.003,30975
,,,,,,,,,,,,,,,
"WASHINGTON COUNTY",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Town Name",BADNARIK-M,,BUSH-R,,CALERO-O,,KERRY-D,,NADER-I,,PARKER-L,,Write-Ins,,"Town Total"
"Barre City - Washington 3-1",7,0.003,880,0.443,0,0,1070,0.539,18,0.009,1,0,9,0.004,1985
"Barre City - Washington 3-2",5,0.003,687,0.444,1,0,822,0.532,18,0.011,4,0.002,8,0.005,1545
"Barre City - Washington 3-3",1,0.003,136,0.47,0,0,145,0.501,7,0.024,0,0,0,0,289
"Barre Town",9,0.002,2228,0.53,1,0,1908,0.454,40,0.009,1,0,13,0.003,4200
Berlin,1,0,588,0.438,1,0,722,0.538,19,0.014,4,0.003,7,0.005,1342
Cabot,0,0,225,0.326,0,0,449,0.651,14,0.02,0,0,1,0.001,689
Calais,2,0.002,259,0.255,0,0,733,0.722,19,0.018,0,0,1,0.001,1014
Duxbury,4,0.005,276,0.376,0,0,440,0.599,11,0.015,2,0.002,1,0.001,734
"East Montpelier",3,0.001,538,0.344,2,0.001,992,0.635,24,0.015,0,0,3,0.001,1562
Fayston,5,0.006,232,0.295,0,0,529,0.673,13,0.016,1,0.001,6,0.007,786
Marshfield,2,0.002,344,0.383,1,0.001,526,0.585,18,0.02,3,0.003,4,0.004,898
Middlesex,5,0.004,323,0.304,3,0.002,701,0.66,22,0.02,4,0.003,4,0.003,1062
Montpelier,17,0.003,1048,0.222,5,0.001,3536,0.749,87,0.018,1,0,25,0.005,4719
Moretown,0,0,341,0.35,0,0,608,0.624,19,0.019,2,0.002,4,0.004,974
Northfield,8,0.003,1050,0.447,2,0,1228,0.522,40,0.017,3,0.001,18,0.007,2349
Plainfield,4,0.005,215,0.284,0,0,506,0.668,29,0.038,2,0.002,1,0.001,757
Roxbury,1,0.002,123,0.326,0,0,235,0.623,15,0.039,0,0,3,0.008,377
Waitsfield,2,0.001,338,0.298,0,0,769,0.679,18,0.015,2,0.001,3,0.002,1132
Warren,3,0.002,285,0.261,2,0.001,774,0.71,22,0.02,1,0,2,0.001,1089
Waterbury,6,0.002,983,0.337,1,0,1848,0.634,60,0.02,3,0.001,12,0.004,2913
Woodbury,1,0.002,204,0.413,2,0.004,277,0.56,7,0.014,0,0,3,0.006,494
Worcester,1,0.001,158,0.293,0,0,359,0.667,17,0.031,1,0.001,2,0.003,538
,,,,,,,,,,,,,,,
"Washington County Totals",87,0.002,11461,0.364,21,0,19177,0.609,537,0.017,35,0.001,130,0.004,31448
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"WINDHAM COUNTY",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
